ISO,Country,Continent,Subregion,Year,Population,Estimate of firearms in civilian possession,Total law enforcement firearms,Total military firearms,"Estimate of firearms in civilian possession per 1,000","Total law enforcement firearms per 1,000","Total military firearms per 1,000",Total Homicides,Total Sexual Crimes,Total Violent Crimes,"Total Homicides per 1,000","Total Sexual Crimes per 1,000","Total Violent Crimes per 1,000",Country GDP,"Country GDP per 1,000"
ALB,Albania,Europe,Southern Europe,2018,2911000.0,350000,19000,21750.0,120.2335967021642,6.5269666781174855,7.471659223634489,6248,325,970,2.1463414634146343,0.11164548265200962,0.33321882514599793,15379509892.0,5283239.399519066
DZA,Algeria,Africa,Northern Africa,2018,41064000.0,877000,363000,637720.0,21.356906292616404,8.839859731151375,15.529904539255796,9855,3193,16803,0.23999123319696083,0.07775667251120202,0.4091905318527177,194554000000.0,4737823.884667836
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,2018,94000.0,5000,800,438.0,53.191489361702125,8.51063829787234,4.659574468085107,534,251,205,5.680851063829787,2.6702127659574466,2.180851063829787,1661529630.0,17675847.127659574
ARG,Argentina,Americas,Latin America and the Caribbean,2018,44272000.0,3256000,391000,679770.0,73.54535598120708,8.831767256956994,15.354400072280448,119890,32667,136473,2.708032164799422,0.7378704372967113,3.0826029996385977,524820000000.0,11854445.247560535
ARM,Armenia,Asia,Western Asia,2018,3032000.0,186000,18000,509240.0,61.34564643799472,5.936675461741425,167.9551451187335,1237,174,242,0.40798153034300794,0.05738786279683377,0.07981530343007916,12457940695.0,4108819.490435356
AUS,Australia,Oceania,Australia and New Zealand,2018,24642000.0,3573000,69000,214520.0,144.9963476990504,2.8000973946919894,8.705462218975732,10072,27917,82242,0.40873305738170607,1.132903173443714,3.337472607742878,1427810000000.0,57942131.320509695
AUT,Austria,Europe,Western Europe,2018,8592000.0,2577000,37900,240880.0,299.9301675977654,4.411080074487895,28.03538175046555,4714,10323,14200,0.5486499068901304,1.2014664804469275,1.6527001862197392,452582000000.0,52674813.78026071
AZE,Azerbaijan,Asia,Western Asia,2018,9974000.0,362000,18000,537920.0,36.29436534990976,1.8046921997192702,53.93222378183277,9276,350,778,0.9300180469219972,0.035091237216763584,0.07800280729897735,47112470052.0,4723528.178464007
BHS,Bahamas,Americas,Latin America and the Caribbean,2018,397000.0,74000,5000,2470.0,186.39798488664988,12.594458438287154,6.221662468513854,6298,842,7072,15.863979848866498,2.120906801007557,17.81360201511335,12615800000.0,31777833.753148615
BHR,Bahrain,Asia,Western Asia,2018,1419000.0,181000,20000,25796.0,127.55461592670895,14.094432699083862,18.178999295278366,22,0,0,0.015503875968992248,0.0,0.0,39567978723.0,27884410.657505285
BGD,Bangladesh,Asia,Southern Asia,2018,164828000.0,659000,333000,410305.0,3.998107117722717,2.020287815177033,2.489291867886524,7691,0,0,0.04666076152110079,0.0,0.0,321363000000.0,1949686.9463926032
BRB,Barbados,Americas,Latin America and the Caribbean,2018,286000.0,10000,2000,1675.0,34.96503496503497,6.993006993006993,5.856643356643357,1783,443,791,6.234265734265734,1.548951048951049,2.765734265734266,5629916200.0,19685021.67832168
BLR,Belarus,Europe,Eastern Europe,2018,9459000.0,581000,165000,780600.0,61.42298340205095,17.443704408499844,82.52457976530289,3268,2352,739,0.34549106670895446,0.2486520773866159,0.07812665186594778,60031173808.0,6346460.916375938
BEL,Belgium,Europe,Western Europe,2018,11444000.0,1451000,78000,80880.0,126.79133170220203,6.815798671793079,7.067458930443901,2663,20613,88436,0.23269835721775603,1.8012058720727018,7.727717581265292,542639000000.0,47416899.68542468
BLZ,Belize,Americas,Latin America and the Caribbean,2018,375000.0,37000,2000,3690.0,98.66666666666667,5.333333333333333,9.84,5102,342,1,13.605333333333334,0.912,0.002666666666666667,2293250000.0,6115333.333333333
BTN,Bhutan,Asia,Southern Asia,2018,793000.0,6000,4000,15200.0,7.566204287515763,5.044136191677175,19.167717528373267,167,106,1242,0.21059268600252207,0.13366960907944514,1.566204287515763,2583335721.0,3257674.3013871373
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,2018,11053000.0,218000,42000,87590.0,19.723152085406674,3.7998733375554146,7.924545372297113,21979,4917,20507,1.98850990681263,0.4448566000180947,1.855333393648783,40287647930.0,3644951.409572062
BIH,Bosnia and Herzegovina,Europe,Southern Europe,2018,3793000.0,1185000,29000,27300.0,312.41761138940154,7.645663063538096,7.197469021882415,989,317,937,0.2607434748220406,0.08357500659108885,0.24703401001845507,20484053869.0,5400488.760611652
BRA,Brazil,Americas,Latin America and the Caribbean,2018,211243000.0,17510000,803000,1316300.0,82.89032062600891,3.80130939250058,6.231212395203628,290056,49599,575547,1.3730916527411559,0.23479594590116595,2.7245731219496028,1916930000000.0,9074525.546408638
BGR,Bulgaria,Europe,Eastern Europe,2018,7045000.0,590000,59400,176640.0,83.7473385379702,8.43151171043293,25.073101490418736,4967,1166,2617,0.7050390347764373,0.16550745209368348,0.3714691270404542,66289266349.0,9409406.153158268
CPV,Cabo Verde,Africa,Sub-Saharan Africa,2018,533000.0,31000,19000,2280.0,58.16135084427768,35.647279549718576,4.277673545966229,2239,374,3559,4.200750469043152,0.7016885553470918,6.677298311444653,2205099509.0,4137147.2964352723
CAN,Canada,Americas,Northern America,2018,36626000.0,12708000,103000,233949.0,346.9666357232567,2.81220990553159,6.387511603778736,36349,72579,206120,0.9924370665647354,1.981625075083274,5.627696172118168,1725330000000.0,47106700.15835746
CHL,Chile,Americas,Latin America and the Caribbean,2018,18313000.0,2220000,66000,311900.0,121.2253590345656,3.6039971604870855,17.03161688418064,34622,30774,20032,1.890569540763392,1.6804455851034785,1.0938677442254137,295858000000.0,16155627.150111943
CHN,China,Asia,Eastern Asia,2018,1388233000.0,49735000,1971000,27466400.0,35.826118526212824,1.4197904818571523,19.785151339868737,14887,0,0,0.010723704162053488,0.0,0.0,13894900000000.0,10009054.675980186
SLV,El Salvador,Americas,Latin America and the Caribbean,2018,6167000.0,737000,30000,127840.0,119.50705367277445,4.864601913410086,20.729690287011515,157143,11417,17687,25.481271282633372,1.851305334846765,2.868007134749473,26020850000.0,4219369.223285228
EST,Estonia,Europe,Northern Europe,2018,1306000.0,65000,18000,38760.0,49.77029096477795,13.782542113323123,29.678407350689127,527,637,312,0.4035222052067381,0.4877488514548239,0.23889739663093415,31222632741.0,23907069.48009188
FIN,Finland,Europe,Northern Europe,2018,5541000.0,1793000,14000,475030.0,323.58780003609456,2.5266197437285687,85.73001263309872,4324,7577,7818,0.7803645551344522,1.367442699873669,1.410936654033568,273869000000.0,49425915.8996571
FRA,France,Europe,Western Europe,2018,64939000.0,12732000,497000,566430.0,196.06091870832628,7.653336207825805,8.722493416898935,49441,104486,733674,0.7613452624770939,1.608986895394139,11.297894947566178,2781580000000.0,42833736.2755817
GEO,Georgia,Asia,Western Asia,2018,3973000.0,402000,41000,63950.0,101.18298514976088,10.319657689403472,16.096149005789076,2137,514,190,0.5378806946891518,0.12937326956959477,0.047822803926503905,17902544881.0,4506052.071734206
DEU,Germany,Europe,Western Europe,2018,80636000.0,15822000,466000,483016.0,196.21509003422787,5.779056500818493,5.990078872959969,40324,91666,354398,0.5000744084528002,1.1367875390644375,4.395034475916464,4052010000000.0,50250632.4718488
GHA,Ghana,Africa,Sub-Saharan Africa,2018,28657000.0,2280000,28000,18600.0,79.5617126705517,0.9770736643751963,0.6490560770492375,968,4954,61570,0.033778832396971076,0.17287224761838293,2.14851519698503,67298914624.0,2348428.468576613
GRC,Greece,Europe,Southern Europe,2018,10893000.0,1920000,99000,642510.0,176.25998347562654,9.088405397961994,58.98375103277334,1268,1030,1677,0.11640503075369503,0.0945561369686955,0.15395207931699256,213299000000.0,19581290.73717066
GTM,Guatemala,Americas,Latin America and the Caribbean,2018,17005000.0,2062000,43000,160600.0,121.25845339605998,2.528668038812114,9.444281093795942,160137,21843,53738,9.417053807703617,1.2845045574830931,3.160129373713614,73328365862.0,4312165.00217583
GUY,Guyana,Americas,Latin America and the Caribbean,2018,774000.0,122000,4000,10890.0,157.62273901808786,5.167958656330749,14.069767441860465,6204,681,1611,8.015503875968992,0.8798449612403101,2.0813953488372094,4787636998.0,6185577.516795865
HTI,Haiti,Americas,Latin America and the Caribbean,2018,10983000.0,291000,15000,380.0,26.495493034689975,1.3657470636438132,0.034598925612309935,11817,240,1336,1.0759355367385959,0.02185195301830101,0.1216425384685423,16403864618.0,1493568.662296276
HND,Honduras,Americas,Latin America and the Caribbean,2018,8305000.0,1171000,29000,107720.0,140.99939795304033,3.4918723660445514,12.970499698976521,156921,2883,2384,18.894762191450933,0.34714027694160143,0.28705599036724866,24067750760.0,2897983.2341962676
HUN,Hungary,Europe,Eastern Europe,2018,9788000.0,1023000,17000,147880.0,104.5157335512873,1.7368205966489578,15.108295872496935,3491,1574,5782,0.356661217817736,0.16080915406620352,0.5907233346955456,160566000000.0,16404372.701266857
ISL,Iceland,Europe,Northern Europe,2018,334000.0,106000,590,650.0,317.36526946107784,1.7664670658682633,1.9461077844311379,114,1414,157,0.34131736526946105,4.233532934131737,0.47005988023952094,26260850582.0,78625301.14371257
IND,India,Asia,Southern Asia,2018,1342513000.0,71101000,1700000,3900000.0,52.96112588853888,1.2662819652398152,2.904999802608988,243774,0,0,0.18158036458492394,0.0,0.0,2702930000000.0,2013336.183709208
IRL,Ireland,Europe,Northern Europe,2018,4749000.0,342000,3000,26636.0,72.01516108654452,0.6317119393556537,5.608759738892398,1583,6160,6372,0.3333333333333333,1.297115182143609,1.3417561591914087,395461000000.0,83272478.41650873
ISR,Israel,Asia,Western Asia,2018,8323000.0,557000,41000,1016900.0,66.92298450078097,4.926108374384237,122.17950258320317,573,14597,62909,0.06884536825663823,1.7538147302655294,7.558452481076535,375150000000.0,45073891.62561576
ITA,Italy,Europe,Southern Europe,2018,59798000.0,8609000,273000,502960.0,143.96802568647783,4.565370079266865,8.410983644937957,29515,7577,161718,0.49357838054784436,0.12670992340880968,2.704404829592963,2099440000000.0,35108866.51727482
JAM,Jamaica,Americas,Latin America and the Caribbean,2018,2813000.0,246000,12000,8681.0,87.45111980092427,4.265908282971917,3.086029150373267,58022,3357,3034,20.626377532883044,1.1933878421613935,1.0785638108780662,15730792836.0,5592176.62140064
JPN,Japan,Asia,Eastern Asia,2018,126045000.0,377000,252000,745514.0,2.9909952794636836,1.9992859692966798,5.91466539727875,2496,0,0,0.019802451505414733,0.0,0.0,5040880000000.0,39992701.01947717
JOR,Jordan,Asia,Western Asia,2018,7877000.0,1473000,60000,286450.0,187.00012695188522,7.617113114129745,36.36536752570776,1333,2348,914,0.16922686301891582,0.298083026532944,0.1160340231052431,43370860704.0,5506012.53065888
KEN,Kenya,Africa,Sub-Saharan Africa,2018,48467000.0,750000,51527,45790.0,15.47444653062909,1.0631357418449667,0.9447665421833413,76808,14495,17558,1.5847483854994118,0.2990694699486248,0.36226710957971403,92202979985.0,1902386.7783233952
MYS,Malaysia,Asia,South-eastern Asia,2018,31164000.0,217000,102000,428170.0,6.963162623539982,3.2730073161340005,13.739250417147991,629,0,0,0.020183545116159673,0.0,0.0,358789000000.0,11512931.587729432
MLT,Malta,Europe,Southern Europe,2018,421000.0,119000,1637,5547.0,282.6603325415677,3.888361045130641,13.175771971496436,341,224,608,0.8099762470308789,0.5320665083135392,1.4441805225653206,16153779511.0,38370022.59144893
MRT,Mauritania,Africa,Sub-Saharan Africa,2018,4266000.0,120000,10000,22820.0,28.129395218002813,2.344116268166901,5.349273323956868,105,0,0,0.024613220815752464,0.0,0.0,7473550557.0,1751887.1441631503
MUS,Mauritius,Africa,Sub-Saharan Africa,2018,1281000.0,106000,11000,4845.0,82.74785323965651,8.58704137392662,3.782201405152225,240,0,0,0.18735362997658078,0.0,0.0,14735695931.0,11503275.512099924
MEX,Mexico,Americas,Latin America and the Caribbean,2018,130223000.0,16809000,591000,895285.0,129.07858058868248,4.538368798138578,6.875014398378167,1261691,87555,147683,9.688695545333774,0.6723466668714436,1.134077697488155,1256300000000.0,9647297.328428926
MNG,Mongolia,Asia,Eastern Asia,2018,3052000.0,242000,7000,323400.0,79.29226736566186,2.293577981651376,105.96330275229359,10362,1281,1352,3.395150720838794,0.4197247706422018,0.4429882044560944,13178094720.0,4317855.412844037
MNE,Montenegro,Europe,Southern Europe,2018,626000.0,245000,8000,5396.0,391.3738019169329,12.779552715654951,8.619808306709265,499,53,177,0.7971246006389776,0.08466453674121406,0.2827476038338658,5506942238.0,8797032.329073483
MAR,Morocco,Africa,Northern Africa,2018,35241000.0,1690000,91000,588020.0,47.955506370420814,2.5822195737918903,16.685678612979203,10280,9836,112466,0.29170568372066624,0.27910672228370365,3.1913396328140515,127341000000.0,3613433.2169915726
MMR,Myanmar,Asia,South-eastern Asia,2018,54836000.0,877000,76000,788900.0,15.993143190604714,1.38595083521774,14.386534393464148,7478,1103,10460,0.13637026770734553,0.020114523305857467,0.19075060179444162,67860515990.0,1237517.6159822014
NAM,Namibia,Africa,Sub-Saharan Africa,2018,2569000.0,396000,15000,11880.0,154.1455819384975,5.838847800700662,4.624367458154924,2634,2383,11451,1.025301673803036,0.9275982872713119,4.457376411054885,13682019076.0,5325815.132736473
NPL,Nepal,Asia,Southern Asia,2018,29187000.0,444000,62000,183540.0,15.212252030013362,2.1242333915784424,6.288416075650118,1344,0,0,0.0460478980367972,0.0,0.0,33111525237.0,1134461.4121698015
NLD,Netherlands (Kingdom of the),Europe,Western Europe,2018,17033000.0,442000,96000,108676.0,25.949627194269947,5.636118123642341,6.380320554218282,4382,10832,8016,0.2572653085187577,0.6359419949509775,0.4706158633241355,929734000000.0,54584277.57881758
NZL,New Zealand,Oceania,Australia and New Zealand,2018,4605000.0,1212000,13000,38280.0,263.19218241042347,2.823018458197611,8.31270358306189,823,8029,78333,0.17871878393051033,1.7435396308360478,17.01042345276873,211847000000.0,46003691.639522254
NIC,Nicaragua,Americas,Latin America and the Caribbean,2018,6218000.0,323000,8590,261800.0,51.94596333226117,1.3814731424895466,42.10357027983274,9717,3254,1004,1.562721132196848,0.5233193953039563,0.1614667095529109,13025234821.0,2094762.7566741717
NOR,Norway,Europe,Northern Europe,2018,5331000.0,1537000,13000,188646.0,288.31363721628213,2.4385668730069407,35.38660664040518,1552,13309,15097,0.29112736822359786,2.496529731757644,2.8319264678296756,439789000000.0,82496529.73175764
OMN,Oman,Asia,Western Asia,2018,4741000.0,792000,31000,118360.0,167.05336426914153,6.538704914574985,24.965197215777263,671,266,266,0.14153132250580047,0.056106306686353094,0.056106306686353094,91505851756.0,19300960.083526682
PAK,Pakistan,Asia,Southern Asia,2018,196744000.0,43917000,944000,2315480.0,223.21900540804293,4.798113284267881,11.768999308746391,15386,13050,46623,0.07820314723701866,0.06632984995730491,0.23697291912332777,356128000000.0,1810108.5674785508
PRY,Paraguay,Americas,Latin America and the Caribbean,2018,6812000.0,1140000,21000,235780.0,167.35173223722842,3.0827950675278917,34.612448620082205,8718,11159,602,1.2798003523194361,1.6381385789782736,0.08837345860246625,40225448341.0,5905086.36832061
PER,Peru,Americas,Latin America and the Caribbean,2018,32166000.0,633000,142000,473400.0,19.679164335012125,4.414599266306037,14.717403469501958,82679,39281,7778,2.5703848784430767,1.2211962942237145,0.24180812037555183,222597000000.0,6920257.414661444
PHL,Philippines,Asia,South-eastern Asia,2018,103797000.0,3776000,139043,454700.0,36.37870073316184,1.33956665414222,4.380666107883658,64521,10240,1385,0.6216075609121651,0.09865410368315077,0.013343352890738654,346842000000.0,3341541.6630538455
POL,Poland,Europe,Eastern Europe,2018,38564000.0,968000,188000,307200.0,25.101130588113264,4.875012965460015,7.965978632921896,6233,11366,41464,0.16162742454102272,0.29473083705009856,1.0751996680842235,594617000000.0,15418965.87490924
PRT,Portugal,Europe,Southern Europe,2018,10265000.0,2186000,89000,333640.0,212.95664880662446,8.670238675109594,32.5026790063322,1645,5133,860,0.1602532878714077,0.5000487092060399,0.08377983438869946,242093000000.0,23584315.63565514
QAT,Qatar,Asia,Western Asia,2018,2338000.0,390000,5000,30680.0,166.80923866552607,2.1385799828913603,13.122326775021385,58,0,0,0.024807527801539775,0.0,0.0,183335000000.0,78415312.2326775
KOR,Republic of Korea,Asia,Eastern Asia,2018,50705000.0,79000,115000,2688020.0,1.5580317522926734,2.26802090523617,53.01291785819939,3012,23523,53014,0.05940242579627256,0.46391874568582975,1.0455379153929594,1725370000000.0,34027610.689281136
MDA,Republic of Moldova,Europe,Eastern Europe,2018,4055000.0,121000,21000,98600.0,29.839704069050555,5.178791615289765,24.31565967940814,2641,1278,275,0.6512946979038224,0.3151664611590629,0.06781750924784218,11252353421.0,2774933.026140567
ROU,Romania,Europe,Eastern Europe,2018,19238000.0,506000,251000,240180.0,26.30211040648716,13.047094292546003,12.484665765672109,3076,4068,2232,0.15989188065287452,0.21145649235887307,0.11602037633849673,243469000000.0,12655629.483314274
RUS,Russian Federation,Europe,Eastern Europe,2018,143375000.0,17620000,2432000,30272900.0,122.89450741063644,16.96251089799477,211.14489973844815,191009,36064,22413,1.3322336530078465,0.251536181342633,0.1563243243243243,1657330000000.0,11559407.14908457
RWA,Rwanda,Africa,Sub-Saharan Africa,2018,12160000.0,66000,14000,66500.0,5.427631578947369,1.151315789473684,5.46875,563,0,0,0.04629934210526316,0.0,0.0,9637904655.0,792590.8433388158
SAU,Saudi Arabia,Asia,Western Asia,2018,32743000.0,5468000,214000,481350.0,166.9975261888037,6.535748098830284,14.700852090523165,1702,916,9473,0.05198057600097731,0.027975445133310937,0.2893137464496228,846584000000.0,25855419.478972606
SRB,Serbia,Europe,Southern Europe,2018,6946000.0,2719000,53100,384422.0,391.44831557731067,7.644687589979845,55.34437086092715,5214,1005,7508,0.7506478548805068,0.14468758997984452,1.080909876187734,52787520249.0,7599700.582925425
SYC,Seychelles,Africa,Sub-Saharan Africa,2018,98000.0,4000,200,798.0,40.816326530612244,2.0408163265306123,8.142857142857142,17,0,0,0.17346938775510204,0.0,0.0,1784313927.0,18207284.969387755
SGP,Singapore,Asia,South-eastern Asia,2018,5785000.0,20000,9000,574140.0,3.4572169403630078,1.5557476231633536,99.24632670700088,353,2191,1324,0.06101987899740709,0.37873811581676753,0.22886776145203114,376893000000.0,65150043.21521176
SVK,Slovakia,Europe,Eastern Europe,2018,5432000.0,355000,43000,33150.0,65.35346097201767,7.916053019145802,6.102724594992636,3066,1386,6742,0.5644329896907216,0.25515463917525777,1.241163475699558,106612000000.0,19626656.84830633
SVN,Slovenia,Europe,Southern Europe,2018,2071000.0,324000,13000,131686.0,156.44616127474652,6.277160791887977,63.58570738773539,448,758,2917,0.21632061805890873,0.36600676001931437,1.4084983099951716,53689067640.0,25924223.87252535
ZAF,South Africa,Africa,Sub-Saharan Africa,2018,55436000.0,5351000,250481,350636.0,96.52572335666353,4.518381557110903,6.3250595281044815,102635,0,0,1.8514142434519085,0.0,0.0,405261000000.0,7310430.045457825
ESP,Spain,Europe,Southern Europe,2018,46070000.0,3464000,264196,333660.0,75.18992836987192,5.734664640764055,7.242457130453658,20144,25201,69770,0.43724766659431297,0.547015411330584,1.514434556110267,1431640000000.0,31075320.164966356
LKA,Sri Lanka,Asia,Southern Asia,2018,20905000.0,494000,134000,509700.0,23.63071035637407,6.409949772781631,24.381726859602963,24556,5206,3164,1.1746472135852666,0.2490313322171729,0.15135135135135133,94493871201.0,4520156.479359005
PSE,State of Palestine,Asia,Western Asia,2018,4928000.0,56000,33000,44410.0,11.363636363636363,6.696428571428571,9.011769480519481,518,807,925,0.10511363636363637,0.1637581168831169,0.18770292207792208,16276600000.0,3302881.4935064935
TUR,TÃ¼rkiye,Asia,Western Asia,2018,80418000.0,13249000,620000,1390180.0,164.75167251112936,7.709716730085304,17.286925812629015,360307,7530,0,4.480427267527171,0.09363575318958442,0.0,778972000000.0,9686537.839787113
UGA,Uganda,Africa,Sub-Saharan Africa,2018,41653000.0,331000,54000,116660.0,7.9466064869277115,1.2964252274746118,2.8007586488368186,9003,0,0,0.2161428948695172,0.0,0.0,32927025620.0,790507.9014716827
UKR,Ukraine,Europe,Eastern Europe,2018,44405000.0,4396000,289000,6600000.0,98.99786060128365,6.508276095034343,148.6319108208535,3968,1889,2641,0.08935930638441617,0.04254025447584731,0.059475284314829416,130891000000.0,2947663.551401869
TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,2018,56878000.0,427000,37000,190050.0,7.507296318435951,0.6505151376630682,3.341362213861247,13620,0,0,0.23945989662083758,0.0,0.0,57003712892.0,1002210.2199796054
USA,United States of America,Americas,Northern America,2018,326474000.0,393347000,1016000,4535380.0,1204.8340756078585,3.1120395498569566,13.89200977719512,771001,143808,811226,2.3616000049008496,0.4404883696710917,2.4848104290081294,20656500000000.0,63271500.94647659
URY,Uruguay,Americas,Latin America and the Caribbean,2018,3457000.0,1198000,30000,62130.0,346.5432455886607,8.678044547295341,17.972230257448654,24488,3633,571,7.083598495805612,1.050911194677466,0.16517211455018802,65344576348.0,18902104.815736186
UZB,Uzbekistan,Asia,Central Asia,2018,30691000.0,127000,150000,268400.0,4.138020918184484,4.8874262813202565,8.745234759375712,20277,285,1205,0.6606822847088722,0.009286109934508489,0.03926232445993939,58695899092.0,1912479.198853084
VEN,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,2018,31926000.0,5895000,173000,353300.0,184.6457432813381,5.418780930902712,11.066215623629644,6843,763,4743,0.21433940988535988,0.023899016475599826,0.14856230031948883,102021000000.0,3195545.9500093968
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,2018,16338000.0,455000,23000,91580.0,27.84918594687232,1.4077610478638756,5.605337250581466,4195,0,0,0.2567633737299547,0.0,0.0,34156069918.0,2090590.642551108
